Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20220420,80100,67400,112500
20220421,79900,67700,113000
20220422,79800,67000,110500
20220425,79600,66300,108000
20220426,83500,66100,111000
20220427,83300,65000,108500
20220428,83700,64800,109500
20220429,83800,67400,112500
20220502,84400,67300,110500
20220503,83500,67500,110000
20220504,83500,67900,109500
20220506,83900,66500,107500
