today,name,starttime,trigger,t_open,entry_price,exit_price,entry_time,exit_time,pnl,mdd,mdu,last_high_elapsed,msg,mkt_float,ytd_tradamt,cbv_1,ctotal,cum_amt
20220425,001550,090034,24850.0,24850.0,24900.0,25050.0,090146,090210,0.372,0.0,1.0,0,trail,1000,100,2.0,0,100
20220425,001570,090022,4585.0,4585.0,4585.0,4585.0,090114,090114,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,001680,090036,26900.0,26900.0,26900.0,26750.0,090043,090043,-0.788,-0.56,0.0,0,trail,1000,100,2200.0,0,100
20220425,001685,090221,23600.0,23600.0,23650.0,23500.0,090228,090228,-0.864,-0.63,0.0,0,trail,1000,100,1011.0,0,100
20220425,001740,090027,4835.0,4835.0,4840.0,4840.0,090055,090055,-0.23,0.0,0.0,0,trail,1000,100,186.0,0,100
20220425,001780,090009,3810.0,3810.0,3810.0,3810.0,090044,090044,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,001790,090031,4290.0,4290.0,4300.0,4300.0,090040,090044,-0.23,-0.23,0.81,0,trail,1000,100,223.0,0,100
20220425,001795,090002,5460.0,5460.0,5550.0,5510.0,090018,090020,-0.951,-0.72,0.0,0,trail,1000,100,1070.0,0,100
20220425,001800,090019,14600.0,14600.0,14650.0,14650.0,090057,090059,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,001810,090018,4140.0,4140.0,4130.0,4110.0,090033,090033,-0.714,-0.48,0.0,0,trail,1000,100,0.0,0,100
20220425,001820,090036,57000.0,57000.0,57100.0,57100.0,090058,090058,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,001840,090022,8000.0,8000.0,8020.0,7990.0,090046,090051,-0.604,-0.37,0.12,0,trail,1000,100,147.0,0,100
20220425,001880,090030,26950.0,26950.0,27000.0,27000.0,090232,090252,-0.23,0.0,0.0,0,trail,1000,100,29.0,0,100
20220425,001940,090037,17850.0,17850.0,17800.0,17700.0,090336,090336,-0.792,-0.56,0.0,0,trail,1000,100,0.0,0,100
20220425,002020,090037,28500.0,28500.0,28550.0,28550.0,090210,090210,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002070,090015,2560.0,2560.0,2555.0,2555.0,090114,090114,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002100,090037,14250.0,14250.0,14200.0,14200.0,090106,090106,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002150,090032,7800.0,7800.0,7810.0,7810.0,090354,090354,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220425,002220,090010,4605.0,4605.0,4610.0,4610.0,090110,090110,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
