today,name,starttime,trigger,t_open,entry_price,exit_price,entry_time,exit_time,pnl,mdd,mdu,last_high_elapsed,msg,mkt_float,ytd_tradamt,cbv_1,ctotal,cum_amt
20220425,기아,090020,78700.0,78700.0,78700.0,78700.0,090030,090030,-0.23,0.0,0.0,0,trail,1000,100,35.0,0,100
20220426,기아,090004,81900.0,81900.0,81900.0,81700.0,090011,090011,-0.474,-0.24,0.0,0,trail,1000,100,494.0,0,100
20220427,기아,090041,82400.0,82400.0,82500.0,82400.0,090048,090049,-0.351,-0.12,0.0,0,trail,1000,100,470.0,0,100
20220429,기아,090010,83500.0,83500.0,83500.0,83500.0,090113,090117,-0.23,0.0,0.12,0,trail,1000,100,16.0,0,100
20220502,기아,090032,83500.0,83500.0,83500.0,83500.0,090041,090042,-0.23,0.0,0.12,0,trail,1000,100,671.0,0,100
20220503,기아,090009,83800.0,83800.0,83800.0,83800.0,090118,090120,-0.23,0.0,0.0,0,trail,1000,100,0.0,0,100
20220504,기아,090003,82800.0,82800.0,83300.0,83200.0,090011,090013,-0.35,-0.12,0.0,0,trail,1000,100,65.0,0,100
